vehicle_type,manufacturer,year,model,battery_code,replacement_type,technology,description,image_link
Passenger & SUV,Abarth,2017,500C 595 turismo 1.4T AT,621,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/621.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2018,124 Spider,646,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 60 | Reserve Capacity Minutes: 90 | SANS CCA Amps: 325 | EN CCA Amps: 250 | DIN CCA Amps: 427.5 | SAE CCA Amps: 450 | IEC CCA Amps: 395 | Max length mm: 244 | Overall width mm: 175 | Overall height mm: 190,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/646.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2018,124 Spider Petrol MT and AT,646,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 60 | Reserve Capacity Minutes: 90 | SANS CCA Amps: 325 | EN CCA Amps: 250 | DIN CCA Amps: 427.5 | SAE CCA Amps: 450 | IEC CCA Amps: 395 | Max length mm: 244 | Overall width mm: 175 | Overall height mm: 190,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/646.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2018,500 595 1.4T,621,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/621.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2018,500 595 1.4T AT,621,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/621.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2018,500 595 competizione 1.4T,621,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/621.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2018,500 595 competizione 1.4T AT,621,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/621.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2018,500 595 turismo 1.4T,621,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/621.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2018,500 595 turismo 1.4T AT,621,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/621.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2018,500C 595 1.4T,621,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/621.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2018,500C 595 1.4T AT,621,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/621.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2018,500C 595 competizione 1.4T,621,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/621.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2018,500C 595 turismo 1.4T,621,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/621.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2018,500C 595 turismo 1.4T AT,621,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/621.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2019,124 Spider,646,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 60 | Reserve Capacity Minutes: 90 | SANS CCA Amps: 325 | EN CCA Amps: 250 | DIN CCA Amps: 427.5 | SAE CCA Amps: 450 | IEC CCA Amps: 395 | Max length mm: 244 | Overall width mm: 175 | Overall height mm: 190,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/646.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2019,124 Spider Petrol MT and AT,646,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 60 | Reserve Capacity Minutes: 90 | SANS CCA Amps: 325 | EN CCA Amps: 250 | DIN CCA Amps: 427.5 | SAE CCA Amps: 450 | IEC CCA Amps: 395 | Max length mm: 244 | Overall width mm: 175 | Overall height mm: 190,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/646.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2019,500 595 1.4T,621,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/621.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2019,500 595 1.4T AT,621,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/621.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2019,500 595 competizione 1.4T,621,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/621.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2019,500 595 competizione 1.4T AT,621,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/621.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2019,500 595 turismo 1.4T,621,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/621.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2019,500 595 turismo 1.4T AT,621,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/621.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2019,500C 595 1.4T,621,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/621.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2019,500C 595 1.4T AT,621,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/621.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2019,500C 595 competizione 1.4T,621,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/621.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2019,500C 595 turismo 1.4T,621,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/621.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2019,500C 595 turismo 1.4T AT,621,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/621.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2020,124 Spider,646,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 60 | Reserve Capacity Minutes: 90 | SANS CCA Amps: 325 | EN CCA Amps: 250 | DIN CCA Amps: 427.5 | SAE CCA Amps: 450 | IEC CCA Amps: 395 | Max length mm: 244 | Overall width mm: 175 | Overall height mm: 190,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/646.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2020,124 Spider Petrol MT and AT,646,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 60 | Reserve Capacity Minutes: 90 | SANS CCA Amps: 325 | EN CCA Amps: 250 | DIN CCA Amps: 427.5 | SAE CCA Amps: 450 | IEC CCA Amps: 395 | Max length mm: 244 | Overall width mm: 175 | Overall height mm: 190,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/646.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2020,500 595 1.4T,621,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/621.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2020,500 595 1.4T AT,621,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/621.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2020,500 595 competizione 1.4T,621,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/621.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2020,500 595 competizione 1.4T AT,621,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/621.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2020,500 595 turismo 1.4T,621,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/621.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2020,500 595 turismo 1.4T AT,621,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/621.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2020,500C 595 1.4T,621,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/621.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2020,500C 595 1.4T AT,621,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/621.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2020,500C 595 competizione 1.4T,621,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/621.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2020,500C 595 turismo 1.4T,621,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/621.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2020,500C 595 turismo 1.4T AT,621,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/621.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2021,124 Spider,646,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 60 | Reserve Capacity Minutes: 90 | SANS CCA Amps: 325 | EN CCA Amps: 250 | DIN CCA Amps: 427.5 | SAE CCA Amps: 450 | IEC CCA Amps: 395 | Max length mm: 244 | Overall width mm: 175 | Overall height mm: 190,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/646.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2021,124 Spider Petrol MT and AT,646,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 60 | Reserve Capacity Minutes: 90 | SANS CCA Amps: 325 | EN CCA Amps: 250 | DIN CCA Amps: 427.5 | SAE CCA Amps: 450 | IEC CCA Amps: 395 | Max length mm: 244 | Overall width mm: 175 | Overall height mm: 190,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/646.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2021,500 595 1.4T,621,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/621.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2021,500 595 1.4T AT,621,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/621.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2021,500 595 competizione 1.4T,621,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/621.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2021,500 595 competizione 1.4T AT,621,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/621.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2021,500 595 turismo 1.4T,621,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/621.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Abarth,2021,500 595 turismo 1.4T AT,621,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/621.png&MaxImageWidth=400&MaxImageHeigth=400
